id,sentiment,content
1956971981,insomnia  ,"People with insomnia can�t fall asleep, stay asleep or get enough restful slumber"
1956983690,insomnia  ,I am Waking up during the night
1956987381,insomnia  ,I Waking earlier than desired.
1956987904,insomnia  ,I can't sleep...I keep thinking about the puppy I played with today
1956987950,insomnia  ,I am Facing Difficulty falling asleep and/or waking up in the middle of the night.
1956989514,insomnia  ,I am Facing Difficulty returning to sleep.
1957000290,insomnia  ,"I cant sleep, but im too sore to move"
1957027495,insomnia  ,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
1957037860,insomnia  ,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
1957048027,insomnia  , I am facing Problems with concentration or memory.
1957058504,insomnia  , I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
1957062827,insomnia  ,I have Unhealthy lifestyle and sleep habits.
1957068229,insomnia  ,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all."
1957079130,insomnia  ,My bed is not comfortable
1957079622,insomnia  ,is not sleeping because he has paperwork to do.
1957080579,insomnia  ,I'm poorly and can't sleep
1957082086,insomnia  ,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman."
1957084742,insomnia  ,I am using recreational drugs like cocaine or ecstasy.
1957093471,insomnia  ,I am wake up several times during the night
1957106916,insomnia  ,So exhausted..can't sleep. I don't like these nights
1957109545,insomnia  ,Cannot sleep. 2+ hours of tossing and turning.
1957114960,insomnia  ,wake up early and cannot go back to sleep
1957123281,insomnia  ,I can't fall asleep
1957126750,insomnia  ,I am still feel tired after waking up
1957133923,insomnia  ,"I can't sleep, this is so darn frustrating."
1957139854,insomnia  ,feel tired and irritable during the day
1957140966,insomnia  ,find it difficult to concentrate during the day because you're tired
1957145956,insomnia  ,"I am watching television or use devices, like smartphones, right before going to bed, because the bright light makes you more awake"
1957146363,insomnia  ,I was too sleepy earlier and i didnt get to see matt
1957150332,insomnia  ," I see alot of your posts your exercising like mad,not eating or sleeping"
1957154452,insomnia  ,well I just randomly woke up and now I can't sleep! Too many things on my mind
1957158373,insomnia  ,I cant to sleep and tomorrow i must wake up too early
1957162285,insomnia  ,I keep on falling asleep when I'm suppose to be awake. I miss my babyy..
1957163152,insomnia  ,I need to wake up earlier so I'm actually tired enough to fall asleep
1957180100,insomnia  ,My tongue still hurts.  I can not sleep!!!
1957183110,insomnia  ,"I can not sleep all of sunday, my enevitable hangover may require it!"
1957183149,insomnia  ,my room is too hot or cold
1957191925,insomnia  ,I can't sleep. I can't find my grandmother's quilt or locket. I'm sick at myself cause I may have lost them somehow. Or they were stolen
1957194036,insomnia  ,"Feeling so rough today, just want a cuddle and some sleep"
1957195455,insomnia  ,uncomfortable beds
1957196855,insomnia  ,I am Not feeling well-rested after a night's sleep
1957216150,insomnia  , I have Daytime tiredness or sleepiness
1957219313,insomnia  ,Never has a chance of sleeping before midnight  my mind is so tired......
1957224360,insomnia  , Unfortunatly i can't sleep n tomorrow.  
1957225624,insomnia  ,"meh, almost didn't sleep, ain't finished anything"
1957238263,insomnia  ,Insomniaaaaaaa..... all night trying to get a sleep... But no result
1957254860,insomnia  ," I am facing Difficulty paying attention, focusing on tasks or remembering"
1957265116,insomnia  ,no sleeping for me im at work   it will be summer break soon. Tell them to get there butts out of bed lol
1957271323,insomnia  ,Why am I having such a hard time falling asleep
1957284135,insomnia  ,I've had a sore throat since monday morning I'm just sick of it hurtin and I want some freakin sleep!
1957314701,insomnia  ,i cant sleep
1957333645,insomnia  ,Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left
1957336824,insomnia  ,"I have Difficulty paying attention, focusing on tasks or remembering"
1957339578,insomnia  , im only gonna get 3 hours of sleep tonight
1957340928,insomnia  ,cant sleep again! Been up for ages...
1957345027,insomnia  ,Increased errors or accidents
1957346292,insomnia  ,Can't sleep!!! People keep textin me!!!
1957362570,insomnia  ,Sleeping on the streets of nyc for a celebrity...nothing new. Wish i had a huge blanket though
1957369079,insomnia  ,I just really want to sleep butmy eyes won't let me
1957398769,insomnia  ,im very tired but i can't sleep
1957406009,insomnia  , why can't I fall asleep
1957421094,insomnia  ,I should be sleep. I have to wake up soooo early
1957425787,insomnia  ,I can't go to sleep until tech support emails me back
1957440033,insomnia  ,I caaaaan't sleep.....it's 3.30am! wahhhh... i wanna cry
1957440258,insomnia  ,very disappointed in him    gonna have to sleep it off....
1957446539,insomnia  ,Having horrible nightmares not gonna go back to sleep
1957459680,insomnia  , im very tired but i sleep  but i try it
1957460511,insomnia  ,i cant find my itouch for the 64577 billionth time n i need it to sleep
1957474784,insomnia  ,I'm sleepy but is feeling under the weather These damn tonsils. I need some company or somebody to talk too!
1957511787,insomnia  ,Attempting to sleep. My puppy is sick already
1957512669,insomnia  ,cant sleep  so tired! goodnight�
1957516189,insomnia  ,Can't sleep.... 
1957520168,insomnia  ,"Desperately wishing I could sleep - But I am too frazzled about my Gma, and can't sleep.."
1957522687,insomnia  ,3 hours of sleep and a mild hangover = carelessness and the loss of a brand new ipod pouch
1957541698,insomnia  ,Another night of not sleeping
1957556471,insomnia  ,where has my sleep run off to??
1957558782,insomnia  ,Can't freakin sleep and i have a horrible stomach ache
1957562001,insomnia  ,now i'm awake i can't get back to sleep
1957571940,insomnia  ,"i lost all my friends, i'm unable to sleep"
1957585499,insomnia  ,Can't sleep having issue in my legs
1957586335,insomnia  ,facing Lower performance on the job or at school
1957592620,insomnia  ,"I have Mental health disorders, such as depression, an anxiety disorder or substance abuse"
1957611008,insomnia  ,I think i should go to sleep considering i hav to b up on 3hrs....
1957616089,insomnia  ,"can't sleep, tired of drawing."
1957619663,insomnia  ,Still not asleep.
1957623928,insomnia  ,Trying to get some sleep but cant  i gotta wake up early for my doctors appointment too.
